GAME #;SEASON;TYPE;HOME/AWAY;TEAM;RESULT;PTS_FOR;PTS_AGN;OPPONENT;DATE;PTS;REB;AST;MIN;2PM;2PA;3PM;3PA;FTM;FTA;OR;DR;STL;TO;BLK;EFF;;;
133;2022-23;Regular;A;Boulogne-Levallois;L;68;87;AS Monaco;02/04/2023;8;14;3;35;3;6;0;3;2;2;1;13;0;3;3;19;;;
134;2022-23;Regular;H;Boulogne-Levallois;W;93;80;Strasbourg;08/04/2023;29;16;4;34;9;16;2;5;5;6;5;11;0;6;1;33;;;
135;2022-23;Regular;A;Boulogne-Levallois;L;83;84;Limoges;15/04/2023;25;11;4;37;6;10;0;3;13;16;0;11;2;4;3;31;;;
136;2022-23;Regular;H;Boulogne-Levallois;W;80;68;Gravelines;30/04/2023;24;15;3;34;11;15;0;3;2;4;2;13;1;2;4;36;;;
137;2022-23;Regular;H;Boulogne-Levallois;W;93;82;Bourg-en-Bresse;07/05/2023;25;10;4;31;5;12;1;4;12;12;1;9;1;5;1;26;;;
138;2022-23;Regular;A;Boulogne-Levallois;W;82;72;Nanterre;09/05/2023;25;17;3;34;5;12;1;6;12;15;3;14;0;2;4;32;;;
139;2022-23;Regular;A;Boulogne-Levallois;L;68;69;Cholet Basket;12/05/2023;17;15;3;33;8;11;0;5;1;1;1;14;0;5;2;24;;;
140;2022-23;Regular;H;Boulogne-Levallois;W;93;85;Paris;16/05/2023;22;9;2;26;9;11;0;5;4;7;1;8;0;3;2;22;;;
141;2022-23;Playoff;H;Boulogne-Levallois;W;93;80;Cholet Basket;21/05/2023;22;10;6;31;8;15;1;2;3;4;2;8;2;7;2;26;;;
142;2022-23;Playoff;A;Boulogne-Levallois;L;80;83;Cholet Basket;23/05/2023;23;14;3;34;6;11;1;5;8;10;1;13;1;5;2;27;;;
143;2022-23;Playoff;H;Boulogne-Levallois;W;81;69;Cholet Basket;25/05/2023;19;9;4;34;8;15;0;1;3;3;3;6;0;2;2;24;;;
144;2022-23;Playoff;H;Boulogne-Levallois;W;75;69;LDLC ASVEL;28/05/2023;19;14;2;36;6;12;2;6;1;2;0;14;3;5;2;24;;;
145;2022-23;Playoff;H;Boulogne-Levallois;W;86;83;LDLC ASVEL;30/05/2023;13;10;2;35;4;11;1;1;2;2;1;9;0;5;1;14;;;
146;2022-23;Playoff;A;Boulogne-Levallois;L;59;86;LDLC ASVEL;02/06/2023;13;7;0;28;5;8;0;3;3;4;1;6;0;3;4;14;;;
147;2022-23;Playoff;A;Boulogne-Levallois;W;71;69;LDLC ASVEL;04/06/2023;15;7;2;33;5;12;1;3;2;4;0;7;1;1;5;18;;;
148;2022-23;Playoff;A;Boulogne-Levallois;L;64;87;AS Monaco;10/06/2023;8;7;2;27;3;7;0;1;2;2;1;6;0;1;2;13;;;
149;2022-23;Playoff;A;Boulogne-Levallois;L;88;95;AS Monaco;12/06/2023;19;7;4;32;7;11;0;2;5;7;0;7;2;4;3;23;;;
150;2022-23;Playoff;H;Boulogne-Levallois;L;85;92;AS Monaco;15/06/2023;22;7;2;36;5;7;1;4;9;9;1;6;1;1;4;30;;;
151;2023-24;Regular;H;San Antonio Spurs;L;119;126;Dallas Mavericks;26/10/2023;15;5;2;23;3;4;3;5;0;1;0;5;2;5;1;16;;;
152;2023-24;Regular;H;San Antonio Spurs;W;126;122;Houston Rockets;28/10/2023;21;12;1;31;7;13;0;6;7;8;5;7;2;4;3;22;;;
153;2023-24;Regular;A;San Antonio Spurs;L;83;123;LA Clippers;30/10/2023;11;5;2;26;4;8;0;2;3;6;1;4;1;5;1;6;;;
154;2023-24;Regular;A;San Antonio Spurs;W;115;114;Phoenix Suns;01/11/2023;18;8;1;28;4;6;2;6;4;5;3;5;0;5;4;19;;;
155;2023-24;Regular;A;San Antonio Spurs;W;132;121;Phoenix Suns;03/11/2023;38;10;2;34;12;20;3;6;5;6;2;8;1;2;2;39;;;
156;2023-24;Regular;H;San Antonio Spurs;L;116;123;Toronto Raptors;05/11/2023;20;9;4;38;5;9;2;7;4;5;2;7;1;2;5;27;;;
157;2023-24;Regular;A;San Antonio Spurs;L;111;152;Indiana Pacers;07/11/2023;13;10;0;21;1;7;2;5;5;6;1;9;1;2;2;14;;;
158;2023-24;Regular;A;San Antonio Spurs;L;105;126;New York Knicks;09/11/2023;14;9;2;30;4;10;0;4;6;6;4;5;0;3;1;13;;;
159;2023-24;Regular;H;San Antonio Spurs;L;110;117;Minnesota Timberwolves;11/11/2023;29;9;4;35;9;14;3;7;2;4;1;8;1;3;4;33;;;
